ProductID,Name,,,OrderDate,sum(salesorderdetail.OrderQty),,
879,All-Purpose,Bike,Stand,2013-05-30,1,,
879,All-Purpose,Bike,Stand,2013-06-18,1,,
879,All-Purpose,Bike,Stand,2013-06-20,1,,
879,All-Purpose,Bike,Stand,2013-06-22,1,,
879,All-Purpose,Bike,Stand,2013-06-30,2,,
879,All-Purpose,Bike,Stand,2013-07-02,2,,
879,All-Purpose,Bike,Stand,2013-07-03,1,,
879,All-Purpose,Bike,Stand,2013-07-04,1,,
879,All-Purpose,Bike,Stand,2013-07-08,1,,
879,All-Purpose,Bike,Stand,2013-07-09,1,,
879,All-Purpose,Bike,Stand,2013-07-10,2,,
879,All-Purpose,Bike,Stand,2013-07-11,1,,
879,All-Purpose,Bike,Stand,2013-07-13,1,,
879,All-Purpose,Bike,Stand,2013-07-15,1,,
879,All-Purpose,Bike,Stand,2013-07-16,1,,
879,All-Purpose,Bike,Stand,2013-07-17,1,,
879,All-Purpose,Bike,Stand,2013-07-18,1,,
879,All-Purpose,Bike,Stand,2013-07-22,1,,
879,All-Purpose,Bike,Stand,2013-07-23,2,,
879,All-Purpose,Bike,Stand,2013-07-28,2,,
879,All-Purpose,Bike,Stand,2013-08-03,1,,
879,All-Purpose,Bike,Stand,2013-08-04,1,,
879,All-Purpose,Bike,Stand,2013-08-07,2,,
879,All-Purpose,Bike,Stand,2013-08-08,1,,
879,All-Purpose,Bike,Stand,2013-08-09,1,,
879,All-Purpose,Bike,Stand,2013-08-10,1,,
879,All-Purpose,Bike,Stand,2013-08-11,1,,
879,All-Purpose,Bike,Stand,2013-08-12,2,,
879,All-Purpose,Bike,Stand,2013-08-14,1,,
879,All-Purpose,Bike,Stand,2013-08-16,2,,
879,All-Purpose,Bike,Stand,2013-08-18,2,,
879,All-Purpose,Bike,Stand,2013-08-21,2,,
879,All-Purpose,Bike,Stand,2013-08-22,1,,
879,All-Purpose,Bike,Stand,2013-08-26,1,,
879,All-Purpose,Bike,Stand,2013-08-31,1,,
879,All-Purpose,Bike,Stand,2013-09-01,2,,
879,All-Purpose,Bike,Stand,2013-09-02,2,,
879,All-Purpose,Bike,Stand,2013-09-03,1,,
879,All-Purpose,Bike,Stand,2013-09-04,1,,
879,All-Purpose,Bike,Stand,2013-09-07,1,,
879,All-Purpose,Bike,Stand,2013-09-08,2,,
879,All-Purpose,Bike,Stand,2013-09-09,1,,
879,All-Purpose,Bike,Stand,2013-09-10,1,,
879,All-Purpose,Bike,Stand,2013-09-11,1,,
879,All-Purpose,Bike,Stand,2013-09-13,2,,
879,All-Purpose,Bike,Stand,2013-09-16,1,,
879,All-Purpose,Bike,Stand,2013-09-17,2,,
879,All-Purpose,Bike,Stand,2013-09-18,1,,
879,All-Purpose,Bike,Stand,2013-09-19,1,,
879,All-Purpose,Bike,Stand,2013-09-20,1,,
879,All-Purpose,Bike,Stand,2013-09-21,1,,
879,All-Purpose,Bike,Stand,2013-09-23,1,,
879,All-Purpose,Bike,Stand,2013-09-24,1,,
879,All-Purpose,Bike,Stand,2013-09-25,1,,
879,All-Purpose,Bike,Stand,2013-09-27,1,,
879,All-Purpose,Bike,Stand,2013-09-28,1,,
879,All-Purpose,Bike,Stand,2013-10-01,1,,
879,All-Purpose,Bike,Stand,2013-10-02,1,,
879,All-Purpose,Bike,Stand,2013-10-04,1,,
879,All-Purpose,Bike,Stand,2013-10-08,1,,
879,All-Purpose,Bike,Stand,2013-10-09,2,,
879,All-Purpose,Bike,Stand,2013-10-10,2,,
879,All-Purpose,Bike,Stand,2013-10-11,1,,
879,All-Purpose,Bike,Stand,2013-10-12,2,,
879,All-Purpose,Bike,Stand,2013-10-14,2,,
879,All-Purpose,Bike,Stand,2013-10-16,1,,
879,All-Purpose,Bike,Stand,2013-10-17,2,,
879,All-Purpose,Bike,Stand,2013-10-18,1,,
879,All-Purpose,Bike,Stand,2013-10-20,1,,
879,All-Purpose,Bike,Stand,2013-10-23,2,,
879,All-Purpose,Bike,Stand,2013-10-24,1,,
879,All-Purpose,Bike,Stand,2013-10-27,1,,
879,All-Purpose,Bike,Stand,2013-10-30,1,,
879,All-Purpose,Bike,Stand,2013-10-31,1,,
879,All-Purpose,Bike,Stand,2013-11-01,1,,
879,All-Purpose,Bike,Stand,2013-11-03,1,,
879,All-Purpose,Bike,Stand,2013-11-05,2,,
879,All-Purpose,Bike,Stand,2013-11-06,2,,
879,All-Purpose,Bike,Stand,2013-11-07,1,,
879,All-Purpose,Bike,Stand,2013-11-11,1,,
879,All-Purpose,Bike,Stand,2013-11-12,1,,
879,All-Purpose,Bike,Stand,2013-11-15,1,,
879,All-Purpose,Bike,Stand,2013-11-17,6,,
879,All-Purpose,Bike,Stand,2013-11-18,1,,
879,All-Purpose,Bike,Stand,2013-11-21,1,,
879,All-Purpose,Bike,Stand,2013-11-22,1,,
879,All-Purpose,Bike,Stand,2013-11-24,1,,
879,All-Purpose,Bike,Stand,2013-11-26,2,,
879,All-Purpose,Bike,Stand,2013-11-27,1,,
879,All-Purpose,Bike,Stand,2013-11-29,1,,
879,All-Purpose,Bike,Stand,2013-12-05,1,,
879,All-Purpose,Bike,Stand,2013-12-10,1,,
879,All-Purpose,Bike,Stand,2013-12-11,1,,
879,All-Purpose,Bike,Stand,2013-12-12,1,,
879,All-Purpose,Bike,Stand,2013-12-14,1,,
879,All-Purpose,Bike,Stand,2013-12-16,1,,
879,All-Purpose,Bike,Stand,2013-12-20,1,,
879,All-Purpose,Bike,Stand,2013-12-22,1,,
879,All-Purpose,Bike,Stand,2013-12-23,1,,
879,All-Purpose,Bike,Stand,2013-12-24,1,,
879,All-Purpose,Bike,Stand,2013-12-25,2,,
879,All-Purpose,Bike,Stand,2013-12-27,1,,
879,All-Purpose,Bike,Stand,2013-12-29,3,,
879,All-Purpose,Bike,Stand,2013-12-31,1,,
879,All-Purpose,Bike,Stand,2014-01-01,1,,
879,All-Purpose,Bike,Stand,2014-01-03,1,,
879,All-Purpose,Bike,Stand,2014-01-04,1,,
879,All-Purpose,Bike,Stand,2014-01-06,1,,
879,All-Purpose,Bike,Stand,2014-01-07,1,,
879,All-Purpose,Bike,Stand,2014-01-08,1,,
879,All-Purpose,Bike,Stand,2014-01-12,2,,
879,All-Purpose,Bike,Stand,2014-01-13,1,,
879,All-Purpose,Bike,Stand,2014-01-14,1,,
879,All-Purpose,Bike,Stand,2014-01-17,2,,
879,All-Purpose,Bike,Stand,2014-01-18,1,,
879,All-Purpose,Bike,Stand,2014-01-19,1,,
879,All-Purpose,Bike,Stand,2014-01-20,1,,
879,All-Purpose,Bike,Stand,2014-01-21,1,,
879,All-Purpose,Bike,Stand,2014-01-26,1,,
879,All-Purpose,Bike,Stand,2014-01-28,1,,
879,All-Purpose,Bike,Stand,2014-02-05,1,,
879,All-Purpose,Bike,Stand,2014-02-06,2,,
879,All-Purpose,Bike,Stand,2014-02-07,2,,
879,All-Purpose,Bike,Stand,2014-02-09,1,,
879,All-Purpose,Bike,Stand,2014-02-10,1,,
879,All-Purpose,Bike,Stand,2014-02-11,1,,
879,All-Purpose,Bike,Stand,2014-02-12,1,,
879,All-Purpose,Bike,Stand,2014-02-14,2,,
879,All-Purpose,Bike,Stand,2014-02-16,1,,
879,All-Purpose,Bike,Stand,2014-02-18,2,,
879,All-Purpose,Bike,Stand,2014-02-19,1,,
879,All-Purpose,Bike,Stand,2014-02-22,1,,
879,All-Purpose,Bike,Stand,2014-02-26,1,,
879,All-Purpose,Bike,Stand,2014-03-01,1,,
879,All-Purpose,Bike,Stand,2014-03-03,3,,
879,All-Purpose,Bike,Stand,2014-03-04,1,,
879,All-Purpose,Bike,Stand,2014-03-05,1,,
879,All-Purpose,Bike,Stand,2014-03-06,1,,
879,All-Purpose,Bike,Stand,2014-03-11,1,,
879,All-Purpose,Bike,Stand,2014-03-12,1,,
879,All-Purpose,Bike,Stand,2014-03-13,1,,
879,All-Purpose,Bike,Stand,2014-03-14,1,,
879,All-Purpose,Bike,Stand,2014-03-15,3,,
879,All-Purpose,Bike,Stand,2014-03-16,1,,
879,All-Purpose,Bike,Stand,2014-03-19,1,,
879,All-Purpose,Bike,Stand,2014-03-20,1,,
879,All-Purpose,Bike,Stand,2014-03-21,1,,
879,All-Purpose,Bike,Stand,2014-03-23,3,,
879,All-Purpose,Bike,Stand,2014-03-24,1,,
879,All-Purpose,Bike,Stand,2014-03-25,1,,
879,All-Purpose,Bike,Stand,2014-03-27,2,,
879,All-Purpose,Bike,Stand,2014-03-28,3,,
879,All-Purpose,Bike,Stand,2014-03-29,1,,
879,All-Purpose,Bike,Stand,2014-03-31,2,,
879,All-Purpose,Bike,Stand,2014-04-02,1,,
879,All-Purpose,Bike,Stand,2014-04-03,2,,
879,All-Purpose,Bike,Stand,2014-04-04,1,,
879,All-Purpose,Bike,Stand,2014-04-07,1,,
879,All-Purpose,Bike,Stand,2014-04-09,2,,
879,All-Purpose,Bike,Stand,2014-04-10,1,,
879,All-Purpose,Bike,Stand,2014-04-12,2,,
879,All-Purpose,Bike,Stand,2014-04-13,2,,
879,All-Purpose,Bike,Stand,2014-04-16,1,,
879,All-Purpose,Bike,Stand,2014-04-20,1,,
879,All-Purpose,Bike,Stand,2014-04-21,1,,
879,All-Purpose,Bike,Stand,2014-04-24,1,,
879,All-Purpose,Bike,Stand,2014-04-25,1,,
879,All-Purpose,Bike,Stand,2014-04-26,1,,
879,All-Purpose,Bike,Stand,2014-04-27,1,,
879,All-Purpose,Bike,Stand,2014-04-28,2,,
879,All-Purpose,Bike,Stand,2014-04-29,1,,
879,All-Purpose,Bike,Stand,2014-04-30,1,,
879,All-Purpose,Bike,Stand,2014-05-01,1,,
879,All-Purpose,Bike,Stand,2014-05-03,1,,
879,All-Purpose,Bike,Stand,2014-05-05,1,,
879,All-Purpose,Bike,Stand,2014-05-14,1,,
879,All-Purpose,Bike,Stand,2014-05-15,2,,
879,All-Purpose,Bike,Stand,2014-05-18,2,,
879,All-Purpose,Bike,Stand,2014-05-22,1,,
879,All-Purpose,Bike,Stand,2014-05-25,1,,
879,All-Purpose,Bike,Stand,2014-05-26,1,,
879,All-Purpose,Bike,Stand,2014-05-29,1,,
879,All-Purpose,Bike,Stand,2014-05-30,1,,
879,All-Purpose,Bike,Stand,2014-06-05,1,,
879,All-Purpose,Bike,Stand,2014-06-11,2,,
879,All-Purpose,Bike,Stand,2014-06-13,1,,
879,All-Purpose,Bike,Stand,2014-06-19,1,,
879,All-Purpose,Bike,Stand,2014-06-22,2,,
879,All-Purpose,Bike,Stand,2014-06-23,1,,
879,All-Purpose,Bike,Stand,2014-06-25,2,,
879,All-Purpose,Bike,Stand,2014-06-30,1,,
712,AWC,Logo,Cap,2011-05-31,40,,
712,AWC,Logo,Cap,2011-07-01,103,,
712,AWC,Logo,Cap,2011-08-01,83,,
712,AWC,Logo,Cap,2011-08-31,54,,
712,AWC,Logo,Cap,2011-10-01,136,,
712,AWC,Logo,Cap,2011-10-31,104,,
712,AWC,Logo,Cap,2011-12-01,25,,
712,AWC,Logo,Cap,2012-01-01,97,,
712,AWC,Logo,Cap,2012-01-29,56,,
712,AWC,Logo,Cap,2012-02-29,48,,
712,AWC,Logo,Cap,2012-03-30,125,,
712,AWC,Logo,Cap,2012-04-30,114,,
712,AWC,Logo,Cap,2012-05-30,215,,
712,AWC,Logo,Cap,2012-06-30,345,,
712,AWC,Logo,Cap,2012-07-31,230,,
712,AWC,Logo,Cap,2012-08-30,154,,
712,AWC,Logo,Cap,2012-09-30,224,,
712,AWC,Logo,Cap,2012-10-30,220,,
712,AWC,Logo,Cap,2012-11-30,85,,
712,AWC,Logo,Cap,2012-12-31,135,,
712,AWC,Logo,Cap,2013-01-28,124,,
712,AWC,Logo,Cap,2013-02-28,146,,
712,AWC,Logo,Cap,2013-03-30,244,,
712,AWC,Logo,Cap,2013-04-30,182,,
712,AWC,Logo,Cap,2013-05-30,259,,
712,AWC,Logo,Cap,2013-05-31,2,,
712,AWC,Logo,Cap,2013-06-01,3,,
712,AWC,Logo,Cap,2013-06-02,3,,
712,AWC,Logo,Cap,2013-06-03,1,,
712,AWC,Logo,Cap,2013-06-04,1,,
712,AWC,Logo,Cap,2013-06-05,1,,
712,AWC,Logo,Cap,2013-06-06,1,,
712,AWC,Logo,Cap,2013-06-07,4,,
712,AWC,Logo,Cap,2013-06-08,1,,
712,AWC,Logo,Cap,2013-06-09,2,,
712,AWC,Logo,Cap,2013-06-10,2,,
712,AWC,Logo,Cap,2013-06-11,1,,
712,AWC,Logo,Cap,2013-06-12,2,,
712,AWC,Logo,Cap,2013-06-13,1,,
712,AWC,Logo,Cap,2013-06-14,2,,
712,AWC,Logo,Cap,2013-06-16,1,,
712,AWC,Logo,Cap,2013-06-17,1,,
712,AWC,Logo,Cap,2013-06-18,5,,
712,AWC,Logo,Cap,2013-06-20,3,,
712,AWC,Logo,Cap,2013-06-21,3,,
712,AWC,Logo,Cap,2013-06-22,4,,
712,AWC,Logo,Cap,2013-06-23,1,,
712,AWC,Logo,Cap,2013-06-24,1,,
712,AWC,Logo,Cap,2013-06-25,1,,
712,AWC,Logo,Cap,2013-06-26,1,,
712,AWC,Logo,Cap,2013-06-28,3,,
712,AWC,Logo,Cap,2013-06-29,1,,
712,AWC,Logo,Cap,2013-06-30,415,,
712,AWC,Logo,Cap,2013-07-01,4,,
712,AWC,Logo,Cap,2013-07-02,7,,
712,AWC,Logo,Cap,2013-07-03,5,,
712,AWC,Logo,Cap,2013-07-04,2,,
712,AWC,Logo,Cap,2013-07-05,6,,
712,AWC,Logo,Cap,2013-07-06,2,,
712,AWC,Logo,Cap,2013-07-07,9,,
712,AWC,Logo,Cap,2013-07-08,5,,
712,AWC,Logo,Cap,2013-07-09,6,,
712,AWC,Logo,Cap,2013-07-10,6,,
712,AWC,Logo,Cap,2013-07-11,5,,
712,AWC,Logo,Cap,2013-07-12,7,,
712,AWC,Logo,Cap,2013-07-13,4,,
712,AWC,Logo,Cap,2013-07-14,4,,
712,AWC,Logo,Cap,2013-07-15,6,,
712,AWC,Logo,Cap,2013-07-16,5,,
712,AWC,Logo,Cap,2013-07-17,8,,
712,AWC,Logo,Cap,2013-07-18,7,,
712,AWC,Logo,Cap,2013-07-19,4,,
712,AWC,Logo,Cap,2013-07-20,4,,
712,AWC,Logo,Cap,2013-07-21,5,,
712,AWC,Logo,Cap,2013-07-22,5,,
712,AWC,Logo,Cap,2013-07-23,6,,
712,AWC,Logo,Cap,2013-07-24,6,,
712,AWC,Logo,Cap,2013-07-25,2,,
712,AWC,Logo,Cap,2013-07-26,9,,
712,AWC,Logo,Cap,2013-07-27,6,,
712,AWC,Logo,Cap,2013-07-28,7,,
712,AWC,Logo,Cap,2013-07-29,7,,
712,AWC,Logo,Cap,2013-07-30,4,,
712,AWC,Logo,Cap,2013-07-31,363,,
712,AWC,Logo,Cap,2013-08-01,8,,
712,AWC,Logo,Cap,2013-08-02,2,,
712,AWC,Logo,Cap,2013-08-03,4,,
712,AWC,Logo,Cap,2013-08-04,3,,
712,AWC,Logo,Cap,2013-08-05,5,,
712,AWC,Logo,Cap,2013-08-06,5,,
712,AWC,Logo,Cap,2013-08-07,8,,
712,AWC,Logo,Cap,2013-08-08,6,,
712,AWC,Logo,Cap,2013-08-09,5,,
712,AWC,Logo,Cap,2013-08-10,3,,
712,AWC,Logo,Cap,2013-08-11,6,,
712,AWC,Logo,Cap,2013-08-12,8,,
712,AWC,Logo,Cap,2013-08-13,8,,
712,AWC,Logo,Cap,2013-08-14,4,,
712,AWC,Logo,Cap,2013-08-15,4,,
712,AWC,Logo,Cap,2013-08-16,6,,
712,AWC,Logo,Cap,2013-08-17,8,,
712,AWC,Logo,Cap,2013-08-18,6,,
712,AWC,Logo,Cap,2013-08-19,10,,
712,AWC,Logo,Cap,2013-08-20,4,,
712,AWC,Logo,Cap,2013-08-21,1,,
712,AWC,Logo,Cap,2013-08-22,5,,
712,AWC,Logo,Cap,2013-08-23,6,,
712,AWC,Logo,Cap,2013-08-24,3,,
712,AWC,Logo,Cap,2013-08-25,5,,
712,AWC,Logo,Cap,2013-08-26,6,,
712,AWC,Logo,Cap,2013-08-27,3,,
712,AWC,Logo,Cap,2013-08-28,2,,
712,AWC,Logo,Cap,2013-08-29,4,,
712,AWC,Logo,Cap,2013-08-30,201,,
712,AWC,Logo,Cap,2013-08-31,5,,
712,AWC,Logo,Cap,2013-09-01,5,,
712,AWC,Logo,Cap,2013-09-02,6,,
712,AWC,Logo,Cap,2013-09-03,7,,
712,AWC,Logo,Cap,2013-09-04,6,,
712,AWC,Logo,Cap,2013-09-05,4,,
712,AWC,Logo,Cap,2013-09-06,6,,
712,AWC,Logo,Cap,2013-09-07,8,,
712,AWC,Logo,Cap,2013-09-08,6,,
712,AWC,Logo,Cap,2013-09-09,4,,
712,AWC,Logo,Cap,2013-09-10,1,,
712,AWC,Logo,Cap,2013-09-11,4,,
712,AWC,Logo,Cap,2013-09-12,4,,
712,AWC,Logo,Cap,2013-09-13,5,,
712,AWC,Logo,Cap,2013-09-14,8,,
712,AWC,Logo,Cap,2013-09-15,2,,
712,AWC,Logo,Cap,2013-09-16,8,,
712,AWC,Logo,Cap,2013-09-17,2,,
712,AWC,Logo,Cap,2013-09-18,2,,
712,AWC,Logo,Cap,2013-09-19,4,,
712,AWC,Logo,Cap,2013-09-20,3,,
712,AWC,Logo,Cap,2013-09-21,9,,
712,AWC,Logo,Cap,2013-09-22,1,,
712,AWC,Logo,Cap,2013-09-23,6,,
712,AWC,Logo,Cap,2013-09-24,6,,
712,AWC,Logo,Cap,2013-09-25,5,,
712,AWC,Logo,Cap,2013-09-26,5,,
712,AWC,Logo,Cap,2013-09-27,6,,
712,AWC,Logo,Cap,2013-09-28,3,,
712,AWC,Logo,Cap,2013-09-29,8,,
712,AWC,Logo,Cap,2013-09-30,296,,
712,AWC,Logo,Cap,2013-10-01,2,,
712,AWC,Logo,Cap,2013-10-02,9,,
712,AWC,Logo,Cap,2013-10-03,4,,
712,AWC,Logo,Cap,2013-10-04,2,,
712,AWC,Logo,Cap,2013-10-05,2,,
712,AWC,Logo,Cap,2013-10-06,4,,
712,AWC,Logo,Cap,2013-10-07,3,,
712,AWC,Logo,Cap,2013-10-08,5,,
712,AWC,Logo,Cap,2013-10-09,4,,
712,AWC,Logo,Cap,2013-10-10,3,,
712,AWC,Logo,Cap,2013-10-11,2,,
712,AWC,Logo,Cap,2013-10-12,10,,
712,AWC,Logo,Cap,2013-10-13,8,,
712,AWC,Logo,Cap,2013-10-14,3,,
712,AWC,Logo,Cap,2013-10-15,3,,
712,AWC,Logo,Cap,2013-10-16,4,,
712,AWC,Logo,Cap,2013-10-17,10,,
712,AWC,Logo,Cap,2013-10-18,6,,
712,AWC,Logo,Cap,2013-10-19,3,,
712,AWC,Logo,Cap,2013-10-20,6,,
712,AWC,Logo,Cap,2013-10-21,4,,
712,AWC,Logo,Cap,2013-10-22,2,,
712,AWC,Logo,Cap,2013-10-23,9,,
712,AWC,Logo,Cap,2013-10-24,2,,
712,AWC,Logo,Cap,2013-10-25,6,,
712,AWC,Logo,Cap,2013-10-26,9,,
712,AWC,Logo,Cap,2013-10-27,7,,
712,AWC,Logo,Cap,2013-10-28,7,,
712,AWC,Logo,Cap,2013-10-29,6,,
712,AWC,Logo,Cap,2013-10-30,251,,
712,AWC,Logo,Cap,2013-10-31,10,,
712,AWC,Logo,Cap,2013-11-01,5,,
712,AWC,Logo,Cap,2013-11-02,12,,
712,AWC,Logo,Cap,2013-11-03,8,,
712,AWC,Logo,Cap,2013-11-04,8,,
712,AWC,Logo,Cap,2013-11-05,9,,
712,AWC,Logo,Cap,2013-11-06,6,,
712,AWC,Logo,Cap,2013-11-07,4,,
712,AWC,Logo,Cap,2013-11-08,2,,
712,AWC,Logo,Cap,2013-11-09,8,,
712,AWC,Logo,Cap,2013-11-10,5,,
712,AWC,Logo,Cap,2013-11-11,6,,
712,AWC,Logo,Cap,2013-11-12,8,,
712,AWC,Logo,Cap,2013-11-13,5,,
712,AWC,Logo,Cap,2013-11-14,3,,
712,AWC,Logo,Cap,2013-11-15,6,,
712,AWC,Logo,Cap,2013-11-16,9,,
712,AWC,Logo,Cap,2013-11-17,7,,
712,AWC,Logo,Cap,2013-11-18,6,,
712,AWC,Logo,Cap,2013-11-19,6,,
712,AWC,Logo,Cap,2013-11-20,7,,
712,AWC,Logo,Cap,2013-11-21,8,,
712,AWC,Logo,Cap,2013-11-22,6,,
712,AWC,Logo,Cap,2013-11-23,9,,
712,AWC,Logo,Cap,2013-11-24,12,,
712,AWC,Logo,Cap,2013-11-25,5,,
712,AWC,Logo,Cap,2013-11-26,4,,
712,AWC,Logo,Cap,2013-11-27,7,,
712,AWC,Logo,Cap,2013-11-28,7,,
712,AWC,Logo,Cap,2013-11-29,6,,
712,AWC,Logo,Cap,2013-11-30,125,,
712,AWC,Logo,Cap,2013-12-01,5,,
712,AWC,Logo,Cap,2013-12-02,8,,
712,AWC,Logo,Cap,2013-12-03,5,,
712,AWC,Logo,Cap,2013-12-04,3,,
712,AWC,Logo,Cap,2013-12-05,7,,
712,AWC,Logo,Cap,2013-12-06,6,,
712,AWC,Logo,Cap,2013-12-07,7,,
712,AWC,Logo,Cap,2013-12-08,8,,
712,AWC,Logo,Cap,2013-12-09,9,,
712,AWC,Logo,Cap,2013-12-10,7,,
712,AWC,Logo,Cap,2013-12-11,6,,
712,AWC,Logo,Cap,2013-12-12,1,,
712,AWC,Logo,Cap,2013-12-13,5,,
712,AWC,Logo,Cap,2013-12-14,5,,
712,AWC,Logo,Cap,2013-12-15,10,,
712,AWC,Logo,Cap,2013-12-16,2,,
712,AWC,Logo,Cap,2013-12-17,6,,
712,AWC,Logo,Cap,2013-12-18,7,,
712,AWC,Logo,Cap,2013-12-19,7,,
712,AWC,Logo,Cap,2013-12-20,7,,
712,AWC,Logo,Cap,2013-12-21,3,,
712,AWC,Logo,Cap,2013-12-22,6,,
712,AWC,Logo,Cap,2013-12-23,8,,
712,AWC,Logo,Cap,2013-12-24,5,,
712,AWC,Logo,Cap,2013-12-25,6,,
712,AWC,Logo,Cap,2013-12-26,3,,
712,AWC,Logo,Cap,2013-12-27,4,,
712,AWC,Logo,Cap,2013-12-28,2,,
712,AWC,Logo,Cap,2013-12-29,8,,
712,AWC,Logo,Cap,2013-12-30,8,,
712,AWC,Logo,Cap,2013-12-31,127,,
712,AWC,Logo,Cap,2014-01-01,9,,
712,AWC,Logo,Cap,2014-01-02,11,,
712,AWC,Logo,Cap,2014-01-03,4,,
712,AWC,Logo,Cap,2014-01-04,10,,
712,AWC,Logo,Cap,2014-01-05,9,,
712,AWC,Logo,Cap,2014-01-06,11,,
712,AWC,Logo,Cap,2014-01-07,13,,
